название;ссылка;цена с ведением , без ведения;количество уроков;количество изделий;длительность;доступ;конструирование;комментарий;поддержка куратора;хвалят;тип;оплата зарубежными картами
Капсульный гардероб качества люкс;https://bespoked.ru/shop/courses/kapsulnyj-garderob/;59900;300;10;20 часов;навсегда;да;;6 месяцев;да;курс;
"Modest fashion
";https://bespoked.ru/shop/courses/modest-fashion/;9900;95;8;;;;в основном платья;;да;курс;
Онлайн-курс кройки и шитья;https://irs.academy/sewing;51200 , 1950;12;3;36 часов;;да;;;;курс;
"Онлайн-курс ""Начинающий портной""";https://academiashitia.ru/ek_details;29900 , 18900;130;4;1 год;2 года;да;можно взять отдельно курс трикотажа, это дешевле;1 год;;курс;
"Онлайн-курс ""Сшей свое платье""";https://sewschool.tilda.ws/dress;24900 , 16900;;1;4 недели;3 года;да;особенности раюоты с различными материалами;;;курс;
онлайн курс базовый гардероб;https://loskutspace.com/base;17990 , 11990;104;7;3 месяца;1 год;да;можно взять курс с бельем. обойдется в 26590, есть пробный урок;1 год;;курс;
Онлайн-курс по шитью на любую фигуру;https://balanovskaya.ru/;48600;;;1 год;навсегда;да;огромный курс зато все по полочкам и постепенно, в любом темпе можно, довольно актуальные фасоны. Можно сперва пройти бесплатный марафон;;да;курс;да
sew family швейный клуб;https://sewfamily.ru/club_pre_recording;24900;200;7500;;1 год;;;1 год;да;клуб;
selftailor швейный клуб;https://selftailor.online/page_course/30;11900;10;;;1 год;;каждый месяц новая тема появляется и по ней открывается 4 урока, можно оформить подписку на месяц за 1900, довольно актуальные модели. Можно купить отдельно урок с понравившимся изделием;;;клуб, единичное изделие;
vikisews;https://vikisews.com/kursy/;;;;;навсегда;;классные актуальные модели, но ты покупаешь выкройку ОДНОГО КОНКРЕТНОГО размера;;да;единичное изделие;
хочу шить;https://wanttosew.ru/online/raspisanie/;;;;;;;здесь представлены различные курсы, в том числе корсет;;;курс;
Курс «Построение трикотажного костюма в программе Valentina»;https://courseburg.ru/kurs_postroenie_trikotajnogo_kostuma_v_programme_valentina-c8358-l0.html;7000 , 5000;12;;;;да;работа в программе;;;курс;
Онлайн-курс «Полный Fashion от А до Я»;https://courseburg.ru/onlayn_kurs_polnyy_fashion_ot_a_do_ya-c3813-l0.html;25900;9;5;45 часов;;да;мало информации, курс индивидуальный;;;курс;
